Code ;NOM;MS;UFL;UFV;PDIA;PDI;BPR;LysDI;MetDI;HisDI;NIref;UEM;UEL;UEB;MO;dMO;MAT;dMA;CB;dCB;NDF;dNDF;ADF;dADF;AG;EE;P;Pabs;Ca;Caabs;Mg;BE;EB;dE;EM;DT_N;DT6_N;dr_N;S;Na;K;Cl;BACA;Cu;Zn;Mn;Co;Se;I;VitA;VitD;VitE;LysBP;HisBP;ArgBP;ThrBP;ValBP;MetBP;IleBP;LeuBP;PheBP;AspBP;SerBP;GluBP;ProBP;GlyBP;AlaBP;TyrBP;CysTrpBP;LysDI;HisDI;ArgDI;ThrDI;ValDI;MetDI;IleDI;LeuDI;PheDI;AspDI;SerDI;GluDI;ProDI;GlyDI;AlaDI;TyrDI;C14:0;C16:0;C16:1;C18:0;C18:1;C18:2;C18:3
FV1960;SEIGLE;23.3;0.72;0.63;14;64;-18;7.07;2.12;1.94;0.79;3.42;1.08;1.16;934;61;95;61.1;364;61;683;60.9;418;57.1;17;31;2.7;1.7;3.8;1.5;1.5;156.8;4387;58;2072;78.1;73;65.8;1.2;0.3;10;4;81.8;6;25;45;0.1;0.02;0.1;2000;500;15;4.28;2.3;5.48;3.73;5.26;1.75;3.73;6.58;4.82;8.44;4.82;25.33;11.07;4.82;4.82;2.74;3.2;7.07;1.94;4.72;5.12;5.61;2.12;5.11;7.95;5.03;10.44;4.61;15.1;5.03;6.6;6.68;4.07;1;18.5;1.4;1.89;3.14;15.58;54.43
FV1970;SEIGLE;33.3;0.72;0.64;9;58;-49;7.3;2.17;1.92;1.2;2.25;1.09;1.18;947;60;55;49.1;324;52;609;54;364;48.4;19;25;2.3;1.5;3.3;1.3;1.5;156.8;4376;57;2077;76.8;73;67.7;1.2;0.3;10;4;81.8;6;25;45;0.1;0.02;0.1;2000;500;15;4.28;2.3;5.48;3.73;5.26;1.75;3.73;6.58;4.82;8.44;4.82;25.33;11.07;4.82;4.82;2.74;3.2;7.3;1.92;4.71;5.23;5.66;2.17;5.26;8.02;5.07;10.6;4.61;14.51;4.62;6.67;6.77;4.11;NA;20.9;1.4;1.81;13.2;37.7;19.9
FV1980;SEIGLE;41.6;0.71;0.63;10;58;-45;7.24;2.16;1.92;1.4;1.92;1.1;1.2;949;59;59;50.8;326;47;630;50.2;373;43.5;19;25;2.3;1.5;2.9;1.1;1.5;156.8;4392;56;2055;76.1;73;68.6;1.2;0.3;10;4;81.8;6;25;45;0.1;0.02;0.1;2000;500;15;4.28;2.3;5.48;3.73;5.26;1.75;3.73;6.58;4.82;8.44;4.82;25.33;11.07;4.82;4.82;2.74;3.2;7.24;1.92;4.72;5.2;5.65;2.16;5.22;8;5.06;10.56;4.61;14.67;4.73;6.65;6.75;4.1;NA;20.9;1.4;1.81;13.2;37.7;19.9
FV1990;SORGHO;15.4;0.86;0.81;38;90;43;5.7;1.94;2.04;2.59;1.04;1.02;1.03;884;71;190;76.8;264;72;557;69.3;312;67.7;21;35;2.7;1.7;6.2;2.5;3;156.8;4199;67.8;2382;72.4;73;72.9;1.3;0.3;10;4;75.5;7;30;40;0.1;0.02;0.1;2000;500;15;2.43;2.33;4.23;3.49;5.71;1.69;4.44;14.39;5.61;2.12;4.87;22.22;8.99;3.28;9.84;4.34;2.9;5.7;2.04;4.53;4.73;5.61;1.94;4.95;10.53;5.23;8.45;4.67;16.03;5.6;5.78;7.28;4.14;1;17.55;1.4;1.79;2.95;14.88;56.86
FV2000;SORGHO;18.5;0.8;0.73;24;75;2;6.2;2.02;2;2.21;1.22;1.09;1.16;914;66;129;69.8;304;66;604;64.7;352;61.9;21;35;2.7;1.7;5.7;2.3;3;156.8;4256;62.9;2246;73.6;73;71.6;1.3;0.3;10;4;75.5;7;30;40;0.1;0.02;0.1;2000;500;15;2.43;2.33;4.23;3.49;5.71;1.69;4.44;14.39;5.61;2.12;4.87;22.22;8.99;3.28;9.84;4.34;2.9;6.2;2;4.57;4.91;5.65;2.02;5.11;9.98;5.21;9.04;4.66;15.36;5.15;6.03;7.21;4.15;1;17.55;1.4;1.79;2.95;14.88;56.86
FV2010;SORGHO;18.5;0.76;0.69;23;73;-2;6.25;2.03;1.99;2.16;1.25;1.1;1.18;915;64;122;67.2;304;64;608;63.2;353;60;19;31;2.7;1.7;4.8;1.9;2.5;119.6;4252;60.9;2170;73.7;73;71.5;1;0.3;8;3.5;57.1;6;25;45;0.1;0.02;0.1;2000;500;15;2.43;2.33;4.23;3.49;5.71;1.69;4.44;14.39;5.61;2.12;4.87;22.22;8.99;3.28;9.84;4.34;2.9;6.25;1.99;4.57;4.93;5.65;2.03;5.12;9.92;5.21;9.11;4.65;15.29;5.11;6.05;7.2;4.15;1;18.14;1.4;1.85;3.07;15.32;55.34
FV2020;SORGHO;21;0.72;0.64;20;68;-10;6.39;2.06;1.98;1.95;1.38;1.14;1.26;922;61;108;65.7;323;62;631;61.7;374;58.1;17;29;2.3;1.5;4.3;1.7;2.5;119.6;4265;58;2062;74.4;73;70.7;1;0.3;8;3.5;57.1;6;25;45;0.1;0.02;0.1;2000;500;15;2.43;2.33;4.23;3.49;5.71;1.69;4.44;14.39;5.61;2.12;4.87;22.22;8.99;3.28;9.84;4.34;2.9;6.39;1.98;4.58;4.97;5.67;2.06;5.17;9.77;5.2;9.27;4.65;15.11;4.98;6.12;7.18;4.16;1;18.46;1.4;1.88;3.13;15.55;54.53
FV2030;SORGHO;24.4;0.71;0.63;16;64;-25;6.59;2.09;1.97;1.94;1.39;1.14;1.27;927;60;87;60.9;321;48;629;51;372;44.5;16;27;3.4;2.2;3.3;1.3;2.5;119.6;4261;57;2035;74.4;73;70.7;1;0.3;8;3.5;57.1;6;25;45;0.1;0.02;0.1;2000;500;15;2.43;2.33;4.23;3.49;5.71;1.69;4.44;14.39;5.61;2.12;4.87;22.22;8.99;3.28;9.84;4.34;2.9;6.59;1.97;4.6;5.04;5.68;2.09;5.23;9.55;5.19;9.51;4.64;14.84;4.8;6.22;7.15;4.16;1;18.79;1.4;1.92;3.19;15.77;53.69
FV2040;SORGHO;27.6;0.72;0.64;13;61;-38;6.79;2.12;1.95;1.95;1.38;1.14;1.27;941;60;69;52.2;307;57;607;57.8;354;53.2;23;30;3;2;7.1;2.9;2.5;119.6;4301;57;2067;74.4;73;70.7;1;0.3;8;3.5;57.1;6;25;45;0.1;0.02;0.1;2000;500;15;2.43;2.33;4.23;3.49;5.71;1.69;4.44;14.39;5.61;2.12;4.87;22.22;8.99;3.28;9.84;4.34;2.9;6.79;1.95;4.61;5.11;5.7;2.12;5.29;9.33;5.19;9.74;4.63;14.57;4.63;6.32;7.12;4.17;0.39;15.9;0.42;2.3;21.4;45.8;5
FE4700;ENSILAGESMAIS;24.7;0.94;0.89;12;61;-29;7.17;2.14;2.04;1.44;1.28;1.08;1.21;950;71.1;80;53;228;51;446;53.3;235;47.4;24;31;1.8;1.3;2;0.8;1.2;176.3;4514;68.3;2604;75.3;72;62.3;0.7;0.1;10;3;132.5;4;19;24;0.06;0.02;0.1;5000;200;3;4.54;2.88;2.11;4.53;6.31;1.8;4.38;13.64;5.14;8.63;5.45;14.71;8.15;4.81;8.96;3.95;3.12;7.17;2.04;4.41;5.27;5.78;2.14;5.27;9.18;5.1;10.51;4.74;13.36;4.47;6.62;7.04;4.14;0.39;15.9;0.42;2.3;21.4;45.8;5
